node_id,motion_idx,frame_start,frame_end
0,0,0,45
1,0,45,90
2,0,90,135
3,0,135,180
4,0,180,225
5,0,225,270
6,0,270,315
7,0,315,360
8,0,360,405
9,0,405,450
10,0,450,495
11,0,495,540
12,0,540,585
13,0,585,630
14,0,630,675
15,0,675,720
16,0,720,765
17,0,765,810
18,0,810,855
19,0,855,900
20,0,900,945
21,0,945,990
22,0,990,1035
23,0,1035,1080
24,0,1080,1125
25,0,1125,1170
26,0,1170,1215
27,0,1215,1260
28,0,1260,1305
29,0,1305,1350
30,0,1350,1395
31,0,1395,1440
32,0,1440,1485
33,0,1485,1530
34,0,1530,1575
35,0,1575,1620
36,0,1620,1665
37,0,1665,1710
38,0,1710,1755
39,0,1755,1800
40,0,1800,1845
41,0,1845,1890
42,0,1890,1935
43,0,1935,1980
44,0,1980,2025
45,0,2025,2070
46,0,2070,2115
47,0,2115,2160
48,0,2160,2205
49,0,2205,2250
50,0,2250,2295
51,0,2295,2340
52,0,2340,2385
53,0,2385,2430
54,0,2430,2475
55,0,2475,2520
56,0,2520,2565
57,0,2565,2610
58,0,2610,2655
59,0,2655,2700
60,0,2700,2745
61,0,2745,2790
62,0,2790,2835
63,0,2835,2880
64,0,2880,2925
65,0,2925,2970
66,0,2970,3015
67,0,3015,3060
68,0,3060,3105
69,0,3105,3150
70,0,3150,3195
71,0,3195,3240
72,0,3240,3285
73,0,3285,3330
74,0,3330,3375
75,0,3375,3420
76,0,3420,3465
77,0,3465,3510
78,0,3510,3555
79,0,3555,3600
80,0,3600,3645
81,0,3645,3690
82,0,3690,3735
83,0,3735,3780
84,0,3780,3825
85,0,3825,3870
86,0,3870,3915
87,0,3915,3960
88,0,3960,4005
89,0,4005,4050
90,0,4050,4095
91,0,4095,4140
92,0,4140,4185
93,0,4185,4230
94,0,4230,4275
95,0,4275,4320
96,0,4320,4365
97,0,4365,4410
98,0,4410,4455
99,0,4455,4500
100,0,4500,4545
101,0,4545,4590
102,0,4590,4635
103,0,4635,4680
104,0,4680,4725
105,0,4725,4770
106,0,4770,4815
107,0,4815,4860
108,0,4860,4905
109,0,4905,4950
110,0,4950,4995
111,0,4995,5040
112,0,5040,5085
113,0,5085,5130
114,0,5130,5175
115,0,5175,5220
116,0,5220,5265
117,0,5265,5310
118,0,5310,5355
119,0,5355,5400
120,0,5400,5445
121,0,5445,5490
122,0,5490,5535
123,0,5535,5580
124,0,5580,5625
125,0,5625,5670
126,0,5670,5715
127,0,5715,5760
128,0,5760,5805
129,0,5805,5850
130,0,5850,5895
131,0,5895,5940
132,0,5940,5985
133,0,5985,6030
134,0,6030,6075
135,0,6075,6120
136,0,6120,6165
137,0,6165,6210
138,0,6210,6255
139,0,6255,6300
140,0,6300,6345
